email_id,true_category,predicted_category,intent_confidence,attempts,final_composite,passed_threshold,final_reply
E0001,Refund,Refund,0.858,2,90,True,"Of course, Leo Singh — since it's unopened we can process a full refund for order ORD-38864. Please ship it back within 30 days using the prepaid label in your account, and the $17.91 refund will be issued once we receive it."
E0002,Technical Bug,Technical Bug,0.871,2,60,False,"Thanks for flagging this, Sam Diallo — a manual refresh of the specific screen (not a full app restart) usually pulls the latest sync immediately. If it's still stale after that, let me know and I'll escalate it as a sync-service issue."
E0003,Login,Login,0.875,2,51,False,"That error is expected right after a domain change, Ivy Novak. As an admin, please re-verify the new domain under Settings > Security > SSO; it can take up to 15 minutes to propagate for everyone on the Starter plan. Let me know if it's still failing after that."
E0004,Billing,Billing,0.869,1,90,True,"Happy to help, Aisha Novak — you can download the invoice for order ORD-72021 anytime from Billing > Invoices in your account, and I've also attached a PDF copy here for your records."
E0005,Cancellation,Cancellation,0.863,1,85,True,"Done, Leo Chen — since order ORD-28920 hasn't shipped yet I've cancelled it and started a refund of $341.34, which will post to your original payment method within 5-7 business days."
E0006,Product Feedback,Product Feedback,0.872,1,85,True,"Ha, you're not the first to ask, Ravi Nair! Dark mode is a frequently requested item in our backlog, though there's no committed release date yet. I'll add your vote to the request."
E0007,General Inquiry,General Inquiry,0.875,1,74,True,"Happy to help, Ivy Novak — we're SOC 2 Type II certified with an annual audit and GDPR compliant; a signed DPA is available on request. I'll loop in our sales team who handle full security questionnaires directly."
E0008,Technical Bug,Technical Bug,0.878,2,79,True,"Sorry for the disruption, Chen Haddad. I don't have a documented root cause for this specific crash yet, so rather than guess, I've logged it with engineering as a priority bug referencing order ORD-27139 and will follow up with a timeline as soon as I have one."
E0009,General Inquiry,General Inquiry,0.872,1,74,True,"Happy to help, Ivy Singh — we're SOC 2 Type II certified with an annual audit and GDPR compliant; a signed DPA is available on request. I'll loop in our sales team who handle full security questionnaires directly."
E0010,Shipping,Shipping,0.866,1,90,True,"Sorry for the uncertainty, Sam Diallo — I checked order ORD-13783 and the carrier scan is delayed, though the package is still in transit toward Nairobi. I've opened a trace with the carrier and will follow up within 24 hours with an updated delivery estimate."
E0011,Refund,Refund,0.877,1,68,True,"I'm sorry for the delay, Sofia Haddad. Refunds normally post within 5-7 business days, so 12 days is outside that window — I'm escalating order ORD-27154 to our payments team today and will confirm once the $287.03 has posted, with an update to you within 48 hours."
E0012,Product Feedback,Product Feedback,0.872,1,85,True,"Ha, you're not the first to ask, Sofia Diallo! Dark mode is a frequently requested item in our backlog, though there's no committed release date yet. I'll add your vote to the request."
E0013,Cancellation,Cancellation,0.872,2,50,False,"Sorry to hear the reporting has fallen short, Ivy Singh — I'd rather understand the gap than lose you over something fixable. Our higher tier includes more advanced analytics and a dedicated success manager; could we set up 20 minutes before your renewal to see if that closes the gap?"
E0014,Billing,Billing,0.869,1,90,True,"Happy to help, Ken Novak — you can download the invoice for order ORD-26683 anytime from Billing > Invoices in your account, and I've also attached a PDF copy here for your records."
E0015,Login,Login,0.874,1,70,True,"Sorry about that, Sam Nair — SMS 2FA codes can be delayed by carrier filtering. Try the 'resend as call' option, or switch to an authenticator app under Security Settings, which is instant and more reliable going forward. lol"
E0016,Billing,Billing,0.862,1,74,True,"Sorry about that, Ravi Chen — I can confirm order ORD-90728 shows two charges of $342.32. I've reversed the duplicate charge; it will reflect on your statement within 3-5 business days, and the original charge remains as normal. lol"
E0017,Login,Login,0.874,1,75,True,"Sorry about that, Dana Kowalski — SMS 2FA codes can be delayed by carrier filtering. Try the 'resend as call' option, or switch to an authenticator app under Security Settings, which is instant and more reliable going forward."
